name,Code,Department,Year,Term,Credits,Lecturer,Core Natural Sciences,Core Mathematics,Core Physics (BPhys),Core Biological Sciences,Core Biochemistry,Core Biological and Medicinal Chemistry,Physics (MPhys),Pre Req,Co Req,Natural Science History,Topic Pathway,Module Descriptor
Ecotoxicology,BIO3067,Biosciences,3,2,15,,N,N,N,N,N,N,N,BIO1331,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3067&ay=2020/1
Cellular Basis of Immunity,BIO3078,Biosciences,3,1,15,,N,N,N,N,N,N,N,"BIO2078, BIO2088, BIO2089",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3078&ay=2020/1
Molecular Basis of Infection,BIO3079,Biosciences,3,1,15,,N,N,N,N,N,N,N,"BIO2078, BIO2094",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3079&ay=2020/1
Science Communication,BIO3082,Biosciences,3,2,15,,N,N,N,N,N,N,N,"BIO2071, NSC2001",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3082&ay=2020/1
Current Issues in Marine Biology,BIO3083,Biosciences,3,1,15,,N,N,N,N,N,N,N,BIO2074,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3083&ay=2020/1
Horizons of Biochemical Research,BIO3085,Biosciences,3,1,15,,N,N,N,N,Y,N,N,"BIO2090, BIO2086",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3083&ay=2020/1
Cell Biology of Disease,BIO3086,Biosciences,3,1,15,,N,N,N,N,N,N,N,BIO2088,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3086&ay=2020/1
Secondary Metabolites,BIO3090,Biosciences,3,2,15,,N,N,N,N,N,Y,N,BIO2085,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3090&ay=2020/1
Animal Developmental Biology,BIO3091,Biosciences,3,1,15,,N,N,N,N,N,N,N,BIO1331,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3091&ay=2020/1
Energy Metabolism,BIO3093,Biosciences,3,2,15,,N,N,N,N,Y,N,N,"BIO1332, BIO1341",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3093&ay=2020/1
Living in a Microbial World,BIO3097,Biosciences,3,2,15,,N,N,N,N,N,N,N,N/A,N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3097&ay=2020/1
Biology of Marine Vertebrates,BIO3098,Biosciences,3,1,15,,N,N,N,N,N,N,N,"BIO1331, BIO2082, BIO2074",N/A,N,,http://biosciences.exeter.ac.uk/current/modules/description/index.php?moduleCode=BIO3098&ay=2020/1
Mathetmatical Biology and Ecology,MTH3006,Mathematics,3,1,15,,N,,N,N,N,N,N,MTH2003,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3006
Fluid Dynamics,MTH3007,Mathematics,3,1,15,,N,,N,N,N,N,N,MTH2004,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3007
Mathematics History and Culture,MTH3019,Mathematics,3,1,15,,N,,N,N,N,N,N,MTH1001,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3019
Mathematics of Climate Change,MTH3030,Mathematics,3,1,15,,N,,N,N,N,N,N,MTH1002,N/A,Y,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3030
Theory of Weather and Climate,MTH3001,Mathematics,3,2,15,,N,,N,N,N,N,N,MTH3007,MTH3007,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3001
Number Theory,MTH3004,Mathematics,3,1,15,,N,,N,N,N,N,N,"MTH2002, MTH2010",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3004
Partial Diffrential Equations,MTH3008,Mathematics,3,2,15,,N,,N,N,N,N,N,MTH2004,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3008
Nonlinear Systems and Control,MTH3011,Mathematics,3,2,15,,N,,N,N,N,N,N,"MTH2003, MTH2005",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/
Advanced Statistical Modelling,MTH3012,Mathematics,3,2,15,,N,,N,N,N,N,N,MTH2006,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3012
Combinatorics,MTH3021,Mathematics,3,2,15,,N,,N,N,N,N,N,"MTH2002, MTH2011",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3021
"Graphs, Networks and Algorithms",MTH3022,Mathematics,3,2,15,,N,,N,N,N,N,N,"MTH2001, MTH2008, MTH2011, MTH2002",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3022
Stochastic Processes,MTH3024,Mathematics,3,2,15,,N,,N,N,N,N,N,MTH1004,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3024
Cryptography,MTH3026,Mathematics,3,2,15,,N,,N,N,N,N,N,MTH3004,MTH3004,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3026
Statistical Inference: Theory and Practice,MTH3028,Mathematics,3,2,15,,N,,N,N,N,N,N,MTH2006,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3028
Applications of Geometry and Topology,MTH3032,Mathematics,3,2,15,,N,,N,N,N,N,N,"MTH1001, MTH2004",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3032
Galois Theory,MTH3038,Mathematics,3,1,15,,N,,N,N,N,N,N,"MTH2002, MTH2010, MTH2011",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3038
Computational Nonlinear Dynamics,MTH3039,Mathematics,3,1,15,,N,,N,N,N,N,N,MTH1003,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3039
Topology and Metric Spaces,MTH3040,Mathematics,3,2,15,,N,,N,N,N,N,N,"MTH2001, MTH2008",N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3040
"Bayesian Statistics, Philosophy and Practice",MTH3041,Mathematics,3,1,15,,N,,N,N,N,N,N,MTH2006,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3041
Integral Equations,MTH3042,Mathematics,3,2,15,,N,,N,N,N,N,N,MTH2003,N/A,N,,http://intranet.exeter.ac.uk/emps/studentinfo/subjects/mathematics/modules/2020/index.php/?moduleCode=MTH3042
Nuclear and High Energy Particle Physics,PHY3052,Physics,3,2,15,,N,N,Y,N,N,N,Y,PHY2022,N/A,Y,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3052.html
The Biophysics of Cells and Tissues,PHY3061,Physics,3,1,15,,N,N,N,N,N,N,N,"PHY1021, PHY1024, PHY2023",N/A,Y,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3061.html
Energy and the Environment,PHY3067,Physics,3,1,15,,N,N,N,N,N,N,N,PHY2023,N/A,Y,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3067.html
Electromagnetism II,PHY3051,Physics,3,1,15,,N,N,N,N,N,N,Y,PHY2021,N/A,N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3051.html
General Problems,PHY3053,Physics,3,"1,2",15,,N,N,Y,N,N,N,Y,"PHY1021, PHY1022, PHY1023, PHY1024, PHY2021, PHY2022, PHY2023, PHY2024","PHY3051, PHYM002, PHY3055, PHY3052",N,,http://newton.ex.ac.uk/handbook/PHY/modules/PHY3053.html
